trajectory,global_count
C1 -> C1 -> C1 -> C1 -> C3 -> C1,1
C1 -> C1 -> C1 -> C1 -> C3 -> C0,1
C1 -> C1 -> C1 -> C1 -> C2 -> C3,1
C1 -> C1 -> C1 -> C1 -> C2 -> C2 -> C2 -> C2,1
C1 -> C1 -> C1 -> C1 -> C2 -> C2 -> C1 -> C3 -> C1,1
C1 -> C1 -> C1 -> C1 -> C2 -> C1 -> C2,1
C1 -> C1 -> C1 -> C1 -> C2 -> C1 -> C1,1
C1 -> C1 -> C1 -> C1 -> C2 -> C0,1
C1 -> C1 -> C1 -> C1 -> C1 -> C4 -> C1 -> C1 -> C1,1
C1 -> C1 -> C1 -> C2 -> C1 -> C1 -> C3,1
C1 -> C1 -> C1 -> C2 -> C1 -> C1 -> C1 -> C2,1
C1 -> C1 -> C1 -> C2 -> C1 -> C1 -> C1 -> C1 -> C1,1
C1 -> C1 -> C1 -> C2 -> C1 -> C0 -> C0,1
C1 -> C1 -> C1 -> C2 -> C0 -> C3,1
C1 -> C1 -> C1 -> C1 -> C4 -> C1,1
C1 -> C1 -> C1 -> C1 -> C3 -> C3,1
C1 -> C1 -> C1 -> C1 -> C3 -> C2 -> C2,1
C1 -> C1 -> C1 -> C1 -> C3 -> C2 -> C1 -> C1 -> C2,1
C1 -> C1 -> C1 -> C1 -> C3 -> C1 -> C2 -> C4,1
C1 -> C1 -> C1 -> C2 -> C4 -> C2,1
C1 -> C1 -> C1 -> C2 -> C3 -> C2 -> C2,1
C1 -> C1 -> C1 -> C2 -> C3 -> C0 -> C2,1
C1 -> C1 -> C1 -> C2 -> C3 -> C0 -> C1 -> C4 -> C1,1
C1 -> C1 -> C1 -> C2 -> C3,1
C1 -> C1 -> C1 -> C2 -> C2 -> C3,1
C1 -> C1 -> C1 -> C2 -> C2 -> C2 -> C1 -> C0,1
C1 -> C1 -> C1 -> C2 -> C2 -> C1 -> C2,1
C1 -> C1 -> C1 -> C2 -> C2 -> C1 -> C1,1
C1 -> C1 -> C1 -> C2 -> C2 -> C0 -> C1 -> C1 -> C1 -> C1,1
C1 -> C1 -> C1 -> C2 -> C2 -> C0 -> C1 -> C1,1
C1 -> C1 -> C1 -> C2 -> C2 -> C0 -> C0 -> C2 -> C2,1
C1 -> C1 -> C1 -> C2 -> C1 -> C3,1
C1 -> C1 -> C1 -> C2 -> C1 -> C2 -> C2,1
C1 -> C1 -> C1 -> C4 -> C1 -> C1 -> C2,1
C1 -> C1 -> C1 -> C4 -> C1 -> C1,1
C1 -> C1 -> C1 -> C4,1
C1 -> C1 -> C1 -> C3 -> C4 -> C1 -> C2,1
C1 -> C1 -> C1 -> C3 -> C3 -> C3,1
C1 -> C1 -> C1 -> C3 -> C3,1
C1 -> C1 -> C1 -> C3 -> C2 -> C1 -> C2 -> C1,1
C1 -> C1 -> C1 -> C3 -> C1 -> C4 -> C3 -> C3,1
C1 -> C1 -> C1 -> C3 -> C1 -> C3,1
C1 -> C1 -> C1 -> C3 -> C1 -> C2 -> C2,1
C1 -> C1 -> C1 -> C3 -> C1 -> C1 -> C2 -> C2 -> C1 -> C2,1
C1 -> C1 -> C1 -> C3 -> C1 -> C1 -> C0,1
C1 -> C1 -> C1 -> C3 -> C0 -> C1 -> C1 -> C1,1
C0 -> C0 -> C0 -> C3 -> C0 -> C2,1
C0 -> C0 -> C0 -> C3 -> C0 -> C1 -> C0 -> C0 -> C0 -> C0 -> C3,1
C0 -> C0 -> C0 -> C3 -> C0 -> C0 -> C2 -> C2 -> C1 -> C0,1
C0 -> C0 -> C0 -> C3 -> C0 -> C0 -> C0 -> C2,1
C0 -> C0 -> C0 -> C3 -> C0,1
C1 -> C1 -> C2 -> C0 -> C2 -> C1 -> C1 -> C1,1
C1 -> C1 -> C2 -> C0 -> C2,1
C1 -> C1 -> C2 -> C0 -> C1 -> C1 -> C1,1
C1 -> C1 -> C2 -> C0 -> C0 -> C2 -> C0 -> C2 -> C0,1
C1 -> C1 -> C1 -> C4 -> C1 -> C4 -> C0 -> C1,1
C1 -> C1 -> C1 -> C4 -> C1 -> C3,1
C1 -> C1 -> C1 -> C4 -> C1 -> C2 -> C1,1
C1 -> C1 -> C2 -> C1 -> C0 -> C2 -> C0,1
C1 -> C1 -> C2 -> C1 -> C0 -> C2,1
C1 -> C1 -> C2 -> C1 -> C0 -> C0,1
C1 -> C1 -> C2 -> C0 -> C3 -> C2 -> C2 -> C2 -> C2,1
C0 -> C0 -> C0 -> C3 -> C4 -> C1,1
C0 -> C0 -> C0 -> C3 -> C4,1
C0 -> C0 -> C0 -> C3 -> C3 -> C2,1
C0 -> C0 -> C0 -> C3 -> C3 -> C1 -> C2 -> C2,1
C0 -> C0 -> C0 -> C3 -> C2,1
C0 -> C0 -> C0 -> C3 -> C0 -> C4 -> C0 -> C2 -> C4,1
C1 -> C1 -> C2 -> C1 -> C2 -> C1 -> C1,1
C1 -> C1 -> C2 -> C1 -> C2 -> C0,1
C1 -> C1 -> C2 -> C1 -> C1 -> C4 -> C1 -> C1,1
C1 -> C1 -> C2 -> C1 -> C1 -> C3 -> C2,1
C1 -> C1 -> C2 -> C1 -> C1 -> C3 -> C1 -> C1,1
C1 -> C1 -> C2 -> C1 -> C1 -> C2 -> C4 -> C1 -> C4 -> C1,1
C1 -> C1 -> C2 -> C1 -> C1 -> C2 -> C2,1
C1 -> C1 -> C2 -> C1 -> C1 -> C1 -> C3,1
C1 -> C1 -> C2 -> C1 -> C1 -> C1 -> C1 -> C2,1
C1 -> C1 -> C2 -> C1 -> C1 -> C1 -> C1 -> C1,1
C1 -> C1 -> C2 -> C1 -> C1 -> C1,1
C1 -> C1 -> C2 -> C1 -> C1 -> C0 -> C0 -> C3 -> C0 -> C1 -> C3 -> C3 -> C0 -> C0 -> C1 -> C0 -> C2 -> C1 -> C3 -> C0 -> C4,1
C1 -> C1 -> C2 -> C2 -> C2 -> C1 -> C1 -> C0,1
C1 -> C1 -> C2 -> C2 -> C2 -> C1,1
C1 -> C1 -> C2 -> C2 -> C1 -> C3,1
C1 -> C1 -> C2 -> C2 -> C1 -> C1 -> C2,1
C1 -> C1 -> C2 -> C2 -> C1 -> C0 -> C2,1
C1 -> C1 -> C2 -> C2 -> C0 -> C1 -> C0 -> C1,1
C1 -> C1 -> C2 -> C2 -> C0,1
C1 -> C1 -> C2 -> C1 -> C3 -> C3 -> C0 -> C1,1
C1 -> C1 -> C2 -> C1 -> C3 -> C0 -> C1 -> C2,1
C1 -> C1 -> C2 -> C1 -> C2 -> C3 -> C2 -> C3,1
C1 -> C1 -> C2 -> C1 -> C2 -> C3 -> C2,1
C1 -> C1 -> C2 -> C1 -> C2 -> C1 -> C2 -> C2,1
C1 -> C1 -> C2 -> C1 -> C2 -> C1 -> C1 -> C0,1
C1 -> C1 -> C3 -> C0,1
C1 -> C1 -> C2 -> C4 -> C3 -> C1 -> C2 -> C3,1
C1 -> C1 -> C2 -> C4 -> C2,1
C1 -> C1 -> C2 -> C4 -> C1 -> C1,1
C1 -> C1 -> C2 -> C3 -> C3 -> C1 -> C1,1
C1 -> C1 -> C2 -> C3 -> C2,1
C1 -> C1 -> C2 -> C3 -> C1 -> C2 -> C2 -> C1 -> C2,1
C1 -> C1 -> C2 -> C3 -> C0 -> C2 -> C1 -> C2 -> C2,1
C1 -> C1 -> C2 -> C2 -> C3 -> C3,1
C1 -> C1 -> C2 -> C2 -> C3 -> C2 -> C1,1
C1 -> C1 -> C2 -> C2 -> C3,1
C1 -> C1 -> C2 -> C2 -> C2 -> C4 -> C0 -> C0 -> C0,1
C1 -> C1 -> C2 -> C2 -> C2 -> C2,1
C1 -> C1 -> C3 -> C2 -> C0 -> C1 -> C1 -> C1,1
C1 -> C1 -> C3 -> C1 -> C4 -> C1 -> C2 -> C0,1
C1 -> C1 -> C3 -> C1 -> C3,1
C1 -> C1 -> C3 -> C1 -> C2 -> C3,1
C1 -> C1 -> C3 -> C1 -> C2 -> C2 -> C1 -> C2,1
C1 -> C1 -> C3 -> C1 -> C2 -> C1 -> C1,1
C1 -> C1 -> C3 -> C1 -> C1 -> C4,1
C1 -> C1 -> C3 -> C1 -> C1 -> C2 -> C1,1
C1 -> C1 -> C3 -> C0 -> C2 -> C1,1
C1 -> C1 -> C3 -> C0 -> C1 -> C1 -> C2 -> C1,1
C1 -> C1 -> C3 -> C4 -> C4,1
C1 -> C1 -> C3 -> C4 -> C3,1
C1 -> C1 -> C3 -> C4 -> C2 -> C1 -> C1 -> C2 -> C1,1
C1 -> C1 -> C3 -> C3 -> C3 -> C3 -> C1,1
C1 -> C1 -> C3 -> C3 -> C3,1
C1 -> C1 -> C3 -> C3 -> C2,1
C1 -> C1 -> C3 -> C3 -> C1 -> C3 -> C1 -> C2,1
C1 -> C1 -> C3 -> C3 -> C1 -> C3,1
C1 -> C1 -> C3 -> C3 -> C1 -> C2,1
C1 -> C1 -> C3 -> C3 -> C1 -> C1,1
C1 -> C1 -> C3 -> C3 -> C0 -> C1 -> C3,1
C1 -> C1 -> C3 -> C3 -> C0 -> C1 -> C1 -> C1 -> C0,1
C1 -> C1 -> C3 -> C2 -> C2 -> C3 -> C2,1
C1 -> C1 -> C3 -> C2 -> C1 -> C3,1
C1 -> C1 -> C3 -> C2 -> C1 -> C1,1
C1 -> C2 -> C0 -> C1 -> C1 -> C1,1
C1 -> C2 -> C0 -> C1 -> C0 -> C0 -> C3,1
C1 -> C2 -> C0 -> C0 -> C3 -> C1,1
C1 -> C2 -> C0 -> C0 -> C1 -> C1 -> C1,1
C1 -> C2 -> C0 -> C0 -> C0 -> C2,1
C1 -> C2 -> C0 -> C0 -> C0 -> C1 -> C0 -> C0 -> C1,1
C1 -> C2 -> C0 -> C0,1
C1 -> C1 -> C4 -> C4,1
C1 -> C1 -> C4 -> C2,1
C1 -> C1 -> C4 -> C1 -> C2 -> C1 -> C3,1
C1 -> C1 -> C4 -> C1,1
C1 -> C1 -> C4 -> C0 -> C2 -> C2,1
C1 -> C2 -> C1 -> C0 -> C2 -> C2 -> C2 -> C2,1
C1 -> C2 -> C1 -> C0 -> C2 -> C0,1
C1 -> C2 -> C1 -> C0 -> C2,1
C1 -> C2 -> C1 -> C0 -> C1 -> C3,1
C1 -> C2 -> C1 -> C0 -> C1,1
C1 -> C2 -> C1 -> C0 -> C0 -> C2,1
C0 -> C0 -> C0 -> C0 -> C1 -> C0,1
C1 -> C2 -> C0 -> C3 -> C2 -> C2 -> C0 -> C1,1
C1 -> C2 -> C0 -> C3 -> C2 -> C1,1
C1 -> C2 -> C0 -> C3 -> C0 -> C0 -> C1 -> C2 -> C3 -> C3 -> C3 -> C3 -> C3 -> C3,1
C1 -> C2 -> C0 -> C2 -> C2 -> C1,1
C4 -> C4 -> C2 -> C3 -> C3 -> C1,1
C1 -> C2 -> C0 -> C2 -> C1 -> C1,1
C1 -> C2 -> C0 -> C2 -> C0,1
C1 -> C2 -> C0 -> C1 -> C4 -> C1 -> C2,1
C1 -> C2 -> C0 -> C1 -> C2 -> C3,1
C1 -> C2 -> C1 -> C1 -> C2 -> C2 -> C1 -> C2,1
C1 -> C2 -> C1 -> C1 -> C2 -> C1 -> C2 -> C2,1
C1 -> C2 -> C1 -> C1 -> C2 -> C1 -> C0,1
C1 -> C2 -> C1 -> C1 -> C2 -> C1,1
C1 -> C2 -> C1 -> C1 -> C1 -> C2 -> C1 -> C2,1
C1 -> C2 -> C1 -> C1 -> C1 -> C2 -> C1 -> C1 -> C0 -> C1,1
C1 -> C2 -> C1 -> C1 -> C1 -> C2,1
C1 -> C2 -> C1 -> C1 -> C1 -> C1 -> C3,1
C1 -> C2 -> C1 -> C1 -> C1 -> C1 -> C2,1
C1 -> C2 -> C1 -> C1 -> C1 -> C1 -> C1,1
C1 -> C2 -> C1 -> C1 -> C1 -> C1,1
C1 -> C2 -> C1 -> C1 -> C0 -> C3 -> C2,1
C1 -> C2 -> C1 -> C1 -> C0 -> C1 -> C0 -> C2,1
C1 -> C2 -> C1 -> C1 -> C0 -> C0 -> C3 -> C2 -> C2,1
C1 -> C2 -> C1 -> C1 -> C0 -> C0 -> C2,1
C1 -> C2 -> C1 -> C0 -> C4,1
C1 -> C2 -> C2 -> C0 -> C2,1
C1 -> C2 -> C1 -> C4 -> C2 -> C1 -> C1 -> C0 -> C1,1
C1 -> C2 -> C1 -> C4,1
C1 -> C2 -> C1 -> C3 -> C1,1
C0 -> C0 -> C0 -> C0 -> C0 -> C0 -> C0 -> C0 -> C3 -> C4 -> C3 -> C0 -> C0 -> C0 -> C1,1
C1 -> C2 -> C1 -> C2 -> C2 -> C3,1
C1 -> C2 -> C1 -> C2 -> C2 -> C2,1
C1 -> C2 -> C1 -> C2 -> C1 -> C2,1
C1 -> C2 -> C1 -> C2 -> C0,1
C1 -> C2 -> C1 -> C1 -> C4 -> C1,1
C1 -> C2 -> C1 -> C1 -> C3 -> C3 -> C3,1
C1 -> C2 -> C1 -> C1 -> C3 -> C2,1
C1 -> C2 -> C1 -> C1 -> C3,1
C1 -> C2 -> C1 -> C1 -> C2 -> C4,1
C1 -> C2 -> C1 -> C1 -> C2 -> C3,1
C1 -> C2 -> C1 -> C1 -> C2 -> C2 -> C2,1
C1 -> C2 -> C2 -> C2 -> C1 -> C1,1
C1 -> C2 -> C2 -> C2 -> C1 -> C0 -> C1,1
C1 -> C2 -> C2 -> C2 -> C1,1
C1 -> C2 -> C2 -> C2 -> C0 -> C3,1
C1 -> C2 -> C2 -> C2 -> C0 -> C1,1
C1 -> C2 -> C2 -> C2 -> C0 -> C0,1
C1 -> C2 -> C2 -> C1 -> C4 -> C2 -> C1 -> C1,1
C1 -> C2 -> C2 -> C1 -> C3,1
C1 -> C2 -> C2 -> C1 -> C2 -> C3,1
C1 -> C2 -> C2 -> C1 -> C2 -> C2 -> C2,1
C1 -> C2 -> C2 -> C1 -> C1 -> C2,1
C1 -> C2 -> C2 -> C1 -> C1 -> C0 -> C2,1
C1 -> C2 -> C2 -> C1 -> C1 -> C0 -> C1 -> C1 -> C1,1
C0 -> C0 -> C0 -> C0 -> C0 -> C0 -> C0 -> C2,1
C0 -> C0 -> C0 -> C0 -> C0 -> C1 -> C0 -> C0,1
C4 -> C4 -> C0 -> C0 -> C0,1
C1 -> C2 -> C3 -> C2 -> C2,1
C1 -> C2 -> C3 -> C2 -> C1 -> C1 -> C3 -> C3,1
C1 -> C2 -> C3 -> C2,1
C4 -> C2 -> C1 -> C0 -> C2 -> C0 -> C2,1
C1 -> C2 -> C3 -> C1 -> C0 -> C3,1
C4 -> C2 -> C1 -> C0 -> C1 -> C1 -> C2 -> C1 -> C3 -> C1,1
C1 -> C2 -> C2 -> C4 -> C1 -> C1 -> C1,1
C1 -> C2 -> C2 -> C4,1
C1 -> C2 -> C2 -> C3 -> C2,1
C1 -> C2 -> C2 -> C3,1
C1 -> C2 -> C2 -> C2 -> C3 -> C2,1
C1 -> C2 -> C2 -> C2 -> C2 -> C3 -> C2 -> C2 -> C2 -> C1 -> C1 -> C1 -> C1 -> C1 -> C3 -> C2,1
C4 -> C2 -> C0 -> C2 -> C2 -> C0 -> C2,1
C1 -> C2 -> C2 -> C2 -> C2,1
C1 -> C2 -> C2 -> C2 -> C1 -> C2 -> C1 -> C0,1
C1 -> C2 -> C2 -> C2 -> C1 -> C1 -> C2 -> C1 -> C4,1
C1 -> C3 -> C0 -> C1 -> C1,1
C1 -> C3 -> C0 -> C1 -> C0 -> C3,1
C4 -> C2 -> C0 -> C2 -> C1 -> C3,1
C1 -> C3 -> C0 -> C0 -> C3 -> C0 -> C4 -> C1 -> C1,1
C1 -> C3 -> C0 -> C0 -> C1 -> C2 -> C1 -> C2,1
C1 -> C3 -> C0 -> C0 -> C0 -> C1,1
C1 -> C3 -> C0 -> C0 -> C0 -> C0 -> C4 -> C0 -> C3 -> C0,1
C1 -> C3 -> C0 -> C0,1
C4 -> C2 -> C0 -> C2 -> C1 -> C1,1
C1 -> C2 -> C4 -> C4,1
C1 -> C2 -> C4 -> C1 -> C2,1
C1 -> C2 -> C4 -> C1 -> C1 -> C1 -> C1,1
C1 -> C2 -> C4 -> C1,1
C1 -> C2 -> C4 -> C0,1
C1 -> C2 -> C4,1
C1 -> C2 -> C3 -> C4,1
C1 -> C3 -> C1 -> C1 -> C0 -> C2,1
C1 -> C3 -> C1 -> C1 -> C0 -> C1 -> C1 -> C1 -> C1,1
C1 -> C3 -> C1 -> C1 -> C0 -> C1,1
C4 -> C2 -> C0 -> C1 -> C2,1
C1 -> C3 -> C1 -> C0 -> C3,1
C1 -> C3 -> C1 -> C0 -> C2 -> C1 -> C3 -> C1 -> C1 -> C2,1
C1 -> C3 -> C1 -> C0 -> C1 -> C1 -> C1,1
C1 -> C3 -> C1 -> C0 -> C1 -> C0 -> C1 -> C2,1
C1 -> C3 -> C1 -> C0 -> C0 -> C3,1
C4 -> C2 -> C0 -> C0 -> C1 -> C1,1
C1 -> C3 -> C0 -> C3 -> C3,1
C1 -> C3 -> C0 -> C3 -> C1 -> C1 -> C1,1
C1 -> C3 -> C0 -> C2 -> C2,1
C1 -> C3 -> C0 -> C2 -> C1 -> C1 -> C1,1
C1 -> C3 -> C0 -> C1 -> C1 -> C3 -> C3 -> C1 -> C4 -> C1,1
C1 -> C3 -> C0 -> C1 -> C1 -> C1 -> C1,1
C0 -> C0 -> C0 -> C1 -> C3 -> C0 -> C0,1
C0 -> C0 -> C0 -> C1 -> C3,1
C0 -> C0 -> C0 -> C1 -> C2 -> C3 -> C1 -> C2,1
C0 -> C0 -> C0 -> C1 -> C2 -> C2 -> C1 -> C2 -> C1,1
C4 -> C2 -> C0 -> C0 -> C0 -> C0 -> C2 -> C2,1
C1 -> C3 -> C1 -> C1 -> C4,1
C1 -> C3 -> C1 -> C1 -> C3 -> C2,1
C4 -> C2 -> C0,1
C1 -> C3 -> C1 -> C1 -> C2 -> C2 -> C3,1
C4 -> C1 -> C4 -> C1,1
C4 -> C1 -> C4 -> C0,1
C4 -> C1 -> C4,1
C1 -> C3 -> C1 -> C1 -> C1 -> C1 -> C2,1
C1 -> C3 -> C1 -> C1 -> C1 -> C1 -> C1,1
C0 -> C0 -> C0 -> C0 -> C0 -> C4,1
C0 -> C0 -> C2 -> C1 -> C4,1
C1 -> C3 -> C1 -> C3 -> C1 -> C1 -> C1 -> C1,1
C1 -> C3 -> C1 -> C3 -> C0 -> C2 -> C1 -> C0,1
C1 -> C3 -> C1 -> C3,1
C1 -> C3 -> C1 -> C2 -> C2 -> C1,1
C1 -> C3 -> C1 -> C2 -> C2,1
C1 -> C3 -> C1 -> C2 -> C1 -> C2,1
C0 -> C0 -> C2 -> C1 -> C2 -> C0 -> C1 -> C1,1
C0 -> C0 -> C0 -> C2 -> C3 -> C2,1
C0 -> C0 -> C0 -> C2 -> C3 -> C0,1
C0 -> C0 -> C0 -> C2 -> C2 -> C2,1
C0 -> C0 -> C0 -> C2 -> C0 -> C0 -> C2 -> C4,1
C0 -> C0 -> C0 -> C2 -> C0 -> C0 -> C0 -> C0,1
C0 -> C0 -> C2 -> C1 -> C1,1
C0 -> C0 -> C2 -> C1 -> C0,1
C0 -> C0 -> C2 -> C0 -> C4 -> C1,1
C0 -> C0 -> C0 -> C1 -> C3 -> C2 -> C1 -> C2,1
C1 -> C3 -> C2 -> C2 -> C2 -> C1 -> C1 -> C3 -> C1,1
C1 -> C3 -> C2 -> C2 -> C2,1
C1 -> C3 -> C2 -> C2 -> C1 -> C3,1
C0 -> C0 -> C2 -> C0 -> C3,1
C1 -> C3 -> C2 -> C1 -> C2 -> C3,1
C1 -> C3 -> C2 -> C1 -> C2,1
C1 -> C3 -> C2 -> C1 -> C1 -> C1 -> C2 -> C3,1
C1 -> C3 -> C2 -> C1 -> C0 -> C2 -> C2 -> C2,1
C1 -> C3 -> C2 -> C1,1
C1 -> C3 -> C2 -> C0 -> C4 -> C1,1
C1 -> C3 -> C2 -> C0 -> C0 -> C0 -> C3,1
C1 -> C3 -> C2 -> C0,1
C0 -> C0 -> C2 -> C0 -> C2 -> C2,1
C1 -> C3 -> C1 -> C4 -> C1 -> C1 -> C0,1
C1 -> C3 -> C1 -> C3 -> C4,1
C1 -> C3 -> C1 -> C3 -> C3,1
C1 -> C3 -> C3 -> C3 -> C0 -> C2 -> C3 -> C3 -> C3,1
C1 -> C3 -> C3 -> C3,1
C1 -> C3 -> C3 -> C2 -> C2,1
C1 -> C3 -> C3 -> C2 -> C0 -> C3,1
C1 -> C3 -> C3 -> C2 -> C0,1
C1 -> C3 -> C3 -> C2,1
C1 -> C3 -> C3 -> C1 -> C4,1
C1 -> C3 -> C3 -> C1 -> C3 -> C3,1
C1 -> C3 -> C3 -> C1 -> C3 -> C1,1
C1 -> C3 -> C3 -> C1,1
C1 -> C3 -> C3 -> C0,1
C0 -> C0 -> C2 -> C0 -> C2 -> C0,1
C1 -> C3 -> C2 -> C4 -> C4 -> C1,1
C1 -> C3 -> C2 -> C3,1
C1 -> C3 -> C2 -> C2 -> C2 -> C3 -> C2 -> C2,1
C1 -> C3 -> C2 -> C2 -> C2 -> C3 -> C2 -> C0 -> C3,1
C1 -> C4 -> C1 -> C0 -> C3,1
C1 -> C4 -> C1 -> C0 -> C2 -> C1,1
C1 -> C4 -> C1 -> C0 -> C1,1
C0 -> C0 -> C2 -> C0 -> C1 -> C2 -> C0 -> C0 -> C4,1
C1 -> C4 -> C0 -> C3 -> C1 -> C1,1
C1 -> C4 -> C0 -> C2 -> C2 -> C2 -> C1,1
C1 -> C4 -> C0 -> C1 -> C1 -> C2 -> C2,1
C1 -> C4 -> C0 -> C1 -> C1,1
C0 -> C0 -> C2 -> C0 -> C1 -> C2,1
C0 -> C0 -> C2 -> C0 -> C0 -> C2,1
C1 -> C3 -> C4 -> C2 -> C2 -> C1,1
C1 -> C3 -> C4 -> C2 -> C1 -> C2,1
C1 -> C3 -> C4 -> C1 -> C1 -> C2,1
C1 -> C3 -> C4,1
C1 -> C3 -> C3 -> C4 -> C3 -> C1,1
C1 -> C3 -> C3 -> C3 -> C3 -> C3 -> C0 -> C3 -> C1 -> C3 -> C3 -> C2 -> C0 -> C3 -> C0 -> C3 -> C3 -> C0 -> C1 -> C3 -> C2 -> C0 -> C3 -> C1 -> C4 -> C3 -> C1 -> C3 -> C0 -> C0 -> C0 -> C1 -> C0,1
C1 -> C4 -> C2 -> C2,1
